Formula Name,Formula,Description,Use Case Example
Market-to-Book Ratio (M/B),M/B Ratio = Market Value per Share / Book Value per Share,Compares the market value of a company's stock to its book value.,"If market value per share is $50 and book value per share is $30, market-to-book ratio = 50 / 30 = 1.67."
Compound Annual Growth Rate (CAGR),CAGR = (Ending Value / Beginning Value)^(1 / Number of Years) - 1,Measures the mean annual growth rate of an investment over time.,"If the beginning value is $1,000, the ending value is $1,500, and the time period is 3 years, CAGR = (1,500 / 1,000)^(1 / 3) - 1 = 14.47%."
Operating Leverage,Operating Leverage = Contribution Margin / EBIT,Measures the sensitivity of operating income to changes in sales.,"If the contribution margin is $400,000 and EBIT is $100,000, operating leverage = 400,000 / 100,000 = 4.0."
Net Working Capital (NWC),NWC = Current Assets - Current Liabilities,Represents the difference between a company's current assets and current liabilities.,"If current assets are $500,000 and current liabilities are $300,000, NWC = 500,000 - 300,000 = $200,000."
Sales to Assets Ratio,Sales to Assets Ratio = Revenue / Average Total Assets,Measures a company’s ability to generate sales based on its total assets.,"If revenue is $1,000,000 and average total assets are $500,000, sales to assets ratio = 1,000,000 / 500,000 = 2.0."
Cash Flow Return on Investment (CFROI),CFROI = Cash Flow from Operations / Invested Capital,Measures the return a company generates on its invested capital from cash flow.,"If cash flow from operations is $200,000 and invested capital is $1,000,000, CFROI = 200,000 / 1,000,000 = 20%."
Gross Profit,Gross Profit = Revenue - Cost of Goods Sold,Represents the difference between revenue and the direct costs of producing goods sold.,"If revenue is $500,000 and COGS is $300,000, gross profit = 500,000 - 300,000 = $200,000."
Operating Income,Operating Income = Revenue - Operating Expenses,"Represents income derived from normal business operations, excluding non-operating items like taxes and interest.","If revenue is $1,000,000 and operating expenses are $700,000, operating income = 1,000,000 - 700,000 = $300,000."
Return on Capital Employed (ROCE),ROCE = EBIT / (Total Assets - Current Liabilities),Measures a company's profitability and the efficiency with which its capital is employed.,"If EBIT is $500,000 and total assets are $2,000,000 with current liabilities of $500,000, ROCE = 500,000 / (2,000,000 - 500,000) = 33.33%."
Cost of Debt,Cost of Debt = Interest Expense / Total Debt,Measures the effective rate that a company pays on its borrowed funds.,"If interest expense is $50,000 and total debt is $500,000, cost of debt = 50,000 / 500,000 = 0.10 or 10%."
Economic Value Added (EVA),EVA = NOPAT - (Capital Employed × WACC),Measures the value created in excess of the required return on capital.,"If NOPAT is $100,000, capital employed is $1,000,000, and WACC is 8%, EVA = 100,000 - (1,000,000 × 0.08) = $20,000."
Cash Flow from Operations (CFO),CFO = Net Income + Non-Cash Expenses + Changes in Working Capital,Represents the cash generated from core business operations.,"If net income is $200,000, non-cash expenses (e.g., depreciation) are $30,000, and working capital change is $10,000, CFO = 200,000 + 30,000 + 10,000 = $240,000."
Average Collection Period (ACP),ACP = Accounts Receivable / (Revenue / 365),Measures how long it takes on average for a company to collect its receivables.,"If accounts receivable is $150,000 and annual revenue is $1,200,000, ACP = 150,000 / (1,200,000 / 365) = 45.75 days."
Inventory Turnover,Inventory Turnover = Cost of Goods Sold / Average Inventory,Measures how often inventory is sold and replaced over a period.,"If COGS is $500,000 and average inventory is $100,000, inventory turnover = 500,000 / 100,000 = 5 times per year."
Days Inventory Outstanding (DIO),DIO = 365 / Inventory Turnover,Measures the average number of days inventory is held before being sold.,"If inventory turnover is 5, DIO = 365 / 5 = 73 days."
Days Sales Outstanding (DSO),DSO = Accounts Receivable / (Revenue / 365),Measures the average number of days it takes to collect receivables.,"If accounts receivable is $200,000 and revenue is $1,000,000, DSO = 200,000 / (1,000,000 / 365) = 73 days."
Debt-to-Equity Ratio,Debt-to-Equity Ratio = Total Debt / Shareholders' Equity,Measures the financial leverage of a company by comparing debt to equity.,"If total debt is $600,000 and equity is $400,000, debt-to-equity ratio = 600,000 / 400,000 = 1.5."
Operating Margin,Operating Margin = Operating Income / Revenue × 100,Measures the percentage of revenue that remains after covering operating costs.,"If operating income is $100,000 and revenue is $1,000,000, operating margin = (100,000 / 1,000,000) × 100 = 10%."
Revenue per Employee,Revenue per Employee = Revenue / Number of Employees,Measures how efficiently a company generates revenue based on employee count.,"If revenue is $2,000,000 and the number of employees is 50, revenue per employee = 2,000,000 / 50 = $40,000."
Cash Flow Margin,Cash Flow Margin = Operating Cash Flow / Revenue × 100,Measures the percentage of revenue that is converted into operating cash flow.,"If operating cash flow is $500,000 and revenue is $2,000,000, cash flow margin = (500,000 / 2,000,000) × 100 = 25%."
Debt-to-Assets Ratio,Debt-to-Assets Ratio = Total Debt / Total Assets,Measures the proportion of a company's assets that are financed by debt.,"If total debt is $500,000 and total assets are $1,500,000, debt-to-assets ratio = 500,000 / 1,500,000 = 0.33."
Cash Flow per Share,Cash Flow per Share = Operating Cash Flow / Shares Outstanding,Measures the cash flow generated per share of stock.,"If operating cash flow is $500,000 and shares outstanding are 100,000, cash flow per share = 500,000 / 100,000 = $5.00."
Cost of Goods Sold (COGS),COGS = Beginning Inventory + Purchases - Ending Inventory,Represents the direct costs of producing the goods sold by a company.,"If beginning inventory is $100,000, purchases are $200,000, and ending inventory is $50,000, COGS = 100,000 + 200,000 - 50,000 = $250,000."
Net Profit Margin,Net Profit Margin = Net Income / Revenue × 100,Measures the percentage of revenue that is converted into profit.,"If net income is $50,000 and revenue is $500,000, net profit margin = (50,000 / 500,000) × 100 = 10%."
Capital Expenditure (CapEx),CapEx = Purchases of Fixed Assets - Sale of Fixed Assets,"Represents investments in property, plant, and equipment.","If purchases of fixed assets are $100,000 and sales of fixed assets are $20,000, CapEx = 100,000 - 20,000 = $80,000."
Retained Earnings,Retained Earnings = Beginning Retained Earnings + Net Income - Dividends,"Represents the portion of net income not paid out as dividends, retained for reinvestment.","If beginning retained earnings are $100,000, net income is $50,000, and dividends are $10,000, retained earnings = 100,000 + 50,000 - 10,000 = $140,000."
Total Debt,Total Debt = Short-Term Debt + Long-Term Debt,Represents all financial obligations of a company.,"If short-term debt is $50,000 and long-term debt is $150,000, total debt = 50,000 + 150,000 = $200,000."
Return on Assets (ROA),ROA = Net Income / Total Assets × 100,Measures a company's ability to generate profit from its total assets.,"If net income is $75,000 and total assets are $1,000,000, ROA = (75,000 / 1,000,000) × 100 = 7.5%."
Financial Leverage,Financial Leverage = Average Total Assets / Average Shareholders' Equity,Measures the extent to which a company uses debt to finance its assets.,"If total assets are $2,000,000 and equity is $500,000, financial leverage = 2,000,000 / 500,000 = 4.0."
Return on Investment (ROI),ROI = (Current Value of Investment - Cost of Investment) / Cost of Investment × 100,Measures the return on an investment relative to its cost.,"If the cost of an investment is $100,000 and the current value is $150,000, ROI = (150,000 - 100,000) / 100,000 × 100 = 50%."
Break-even Point,Break-even Point = Fixed Costs / (Price per Unit - Variable Cost per Unit),The sales amount required to cover both fixed and variable costs.,"If fixed costs are $100,000, price per unit is $50, and variable cost per unit is $30, break-even point = 100,000 / (50 - 30) = 5,000 units."
Cash Flow from Financing Activities,Cash Flow from Financing = Borrowings - Repayments + New Equity Issuances,"Represents cash flow from borrowing, repaying loans, and issuing equity.","If borrowings are $200,000, repayments are $50,000, and equity issued is $100,000, cash flow from financing = 200,000 - 50,000 + 100,000 = $250,000."
Dividend Payout Ratio,Dividend Payout Ratio = Dividends / Net Income × 100,Measures the proportion of earnings paid out as dividends.,"If dividends are $20,000 and net income is $100,000, dividend payout ratio = (20,000 / 100,000) × 100 = 20%."
Current Ratio,Current Ratio = Current Assets / Current Liabilities,Measures a company’s ability to pay short-term obligations.,"If current assets are $500,000 and current liabilities are $300,000, current ratio = 500,000 / 300,000 = 1.67."
Quick Ratio (Acid-Test Ratio),Quick Ratio = (Current Assets - Inventories) / Current Liabilities,Measures liquidity without relying on inventory sales.,"If current assets are $500,000, inventories are $100,000, and current liabilities are $300,000, quick ratio = (500,000 - 100,000) / 300,000 = 1.33."
Total Liabilities to Equity Ratio,Total Liabilities to Equity Ratio = Total Liabilities / Shareholders' Equity,Indicates the financial leverage of a company by comparing liabilities to equity.,"If total liabilities are $1,000,000 and equity is $500,000, the ratio = 1,000,000 / 500,000 = 2.0."
Earnings per Share (EPS),EPS = (Net Income - Preferred Dividends) / Weighted Average Shares Outstanding,Represents the portion of a company’s profit allocated to each outstanding share of common stock.,"If net income is $200,000, preferred dividends are $20,000, and shares outstanding are 100,000, EPS = (200,000 - 20,000) / 100,000 = $1.80."
Operating Cash Flow Ratio,Operating Cash Flow Ratio = Operating Cash Flow / Current Liabilities,Measures a company's ability to pay off its short-term liabilities with cash flow.,"If operating cash flow is $300,000 and current liabilities are $150,000, operating cash flow ratio = 300,000 / 150,000 = 2.0."
Capital Intensity Ratio,Capital Intensity Ratio = Total Assets / Revenue,Measures how much capital is required to generate revenue.,"If total assets are $2,000,000 and revenue is $1,000,000, capital intensity ratio = 2,000,000 / 1,000,000 = 2.0."
Operating Cash Flow to Sales Ratio,Operating Cash Flow to Sales = Operating Cash Flow / Revenue,Measures the proportion of revenue converted to cash flow from operations.,"If operating cash flow is $250,000 and revenue is $1,000,000, ratio = 250,000 / 1,000,000 = 0.25 or 25%."
Dividend Yield,Dividend Yield = Annual Dividends per Share / Market Price per Share × 100,Measures the income an investor can expect to receive from dividends relative to the share price.,"If annual dividends per share are $2 and market price per share is $40, dividend yield = (2 / 40) × 100 = 5%."
Price-to-Book Ratio (P/B),P/B Ratio = Market Value per Share / Book Value per Share,Compares the market price of a company’s stock to its book value.,"If market value per share is $50 and book value per share is $30, P/B ratio = 50 / 30 = 1.67."
Cash Flow Return on Capital Invested (CFRIC),CFRIC = Cash Flow from Operations / Capital Invested,Measures the return generated by the capital invested in a business.,"If operating cash flow is $500,000 and capital invested is $1,500,000, CFRIC = 500,000 / 1,500,000 = 33.33%."
Net Operating Profit After Tax (NOPAT),NOPAT = Operating Income × (1 - Tax Rate),Represents the company’s operating profit after accounting for taxes.,"If operating income is $300,000 and tax rate is 30%, NOPAT = 300,000 × (1 - 0.30) = $210,000."
Return on Investment Capital (ROIC),ROIC = NOPAT / Capital Invested,Measures the efficiency of a company in generating profit from its invested capital.,"If NOPAT is $150,000 and capital invested is $1,000,000, ROIC = 150,000 / 1,000,000 = 15%."
Fixed Asset Turnover,Fixed Asset Turnover = Revenue / Average Net Fixed Assets,Measures the efficiency of a company in generating revenue from its fixed assets.,"If revenue is $1,000,000 and average net fixed assets are $500,000, fixed asset turnover = 1,000,000 / 500,000 = 2.0."
Sales Growth Rate,Sales Growth Rate = (Current Year Sales - Previous Year Sales) / Previous Year Sales × 100,Measures the percentage change in sales compared to the previous year.,"If current year sales are $1,200,000 and previous year sales were $1,000,000, sales growth rate = (1,200,000 - 1,000,000) / 1,000,000 × 100 = 20%."
Revenue Growth Rate,Revenue Growth Rate = (Current Year Revenue - Previous Year Revenue) / Previous Year Revenue × 100,Measures the growth rate of a company’s revenue over a period of time.,"If current year revenue is $1,500,000 and previous year revenue was $1,200,000, revenue growth rate = (1,500,000 - 1,200,000) / 1,200,000 × 100 = 25%."
Total Return on Equity (TROE),TROE = (Net Income + Dividends) / Average Shareholder Equity,"Measures the total return on equity, accounting for both net income and dividends.","If net income is $100,000, dividends are $20,000, and average shareholder equity is $500,000, TROE = (100,000 + 20,000) / 500,000 = 24%."
Net Profit per Employee,Net Profit per Employee = Net Income / Number of Employees,Measures the profit generated per employee.,"If net income is $200,000 and number of employees is 100, net profit per employee = 200,000 / 100 = $2,000."
Asset Turnover,Asset Turnover = Revenue / Average Total Assets,Measures the efficiency of a company in generating revenue from its assets.,"If revenue is $1,000,000 and average total assets are $500,000, asset turnover = 1,000,000 / 500,000 = 2.0."
Return on Equity (ROE),ROE = Net Income / Average Shareholders' Equity × 100,Measures the profitability of a company relative to shareholders' equity.,"If net income is $150,000 and average equity is $1,000,000, ROE = (150,000 / 1,000,000) × 100 = 15%."
Cash Flow per Share,Cash Flow per Share = Operating Cash Flow / Shares Outstanding,Measures the cash flow generated per share of stock.,"If operating cash flow is $500,000 and shares outstanding are 200,000, cash flow per share = 500,000 / 200,000 = $2.50."
Operating Income Margin,Operating Income Margin = Operating Income / Revenue × 100,Measures the percentage of revenue that is converted into operating income.,"If operating income is $100,000 and revenue is $1,000,000, operating income margin = (100,000 / 1,000,000) × 100 = 10%."
Net Working Capital (NWC),NWC = Current Assets - Current Liabilities,Measures a company's short-term financial health.,"If current assets are $500,000 and current liabilities are $300,000, NWC = 500,000 - 300,000 = $200,000."
Interest Coverage Ratio,Interest Coverage Ratio = EBIT / Interest Expense,Measures a company’s ability to pay interest on its debt.,"If EBIT is $400,000 and interest expense is $50,000, interest coverage ratio = 400,000 / 50,000 = 8.0."
Fixed Cost Contribution Margin,Contribution Margin = Sales - Variable Costs,Measures the contribution to covering fixed costs after covering variable costs.,"If sales are $500,000 and variable costs are $200,000, contribution margin = 500,000 - 200,000 = $300,000."
Return on Capital Employed (ROCE),ROCE = EBIT / Capital Employed × 100,Measures the profitability relative to the capital employed.,"If EBIT is $200,000 and capital employed is $1,000,000, ROCE = (200,000 / 1,000,000) × 100 = 20%."
Debt Service Coverage Ratio (DSCR),DSCR = Operating Income / Debt Service,Measures a company's ability to service its debt from operating income.,"If operating income is $500,000 and debt service (interest + principal repayment) is $200,000, DSCR = 500,000 / 200,000 = 2.5."
Current Liabilities Ratio,Current Liabilities Ratio = Current Liabilities / Total Liabilities,Measures the proportion of current liabilities to total liabilities.,"If current liabilities are $300,000 and total liabilities are $800,000, current liabilities ratio = 300,000 / 800,000 = 0.375."
Return on Sales (ROS),ROS = Net Income / Revenue × 100,Measures the percentage of profit generated from sales.,"If net income is $80,000 and revenue is $800,000, ROS = (80,000 / 800,000) × 100 = 10%."
Return on Assets (ROA),ROA = Net Income / Average Total Assets × 100,Measures how efficiently a company uses its assets to generate profit.,"If net income is $120,000 and average total assets are $1,000,000, ROA = (120,000 / 1,000,000) × 100 = 12%."
Working Capital Cycle (WCC),WCC = DSO + DIO - DPO,Measures the time it takes to convert inventory and receivables into cash after paying accounts payable.,"If DSO is 30 days, DIO is 60 days, and DPO is 45 days, WCC = 30 + 60 - 45 = 45 days."
Price-to-Earnings Ratio (P/E),P/E Ratio = Market Price per Share / Earnings per Share,Measures the value the market places on a company’s earnings.,"If market price per share is $50 and earnings per share is $5, P/E ratio = 50 / 5 = 10."
Dividend Coverage Ratio,Dividend Coverage Ratio = Net Income / Dividends,Measures a company's ability to cover its dividend payments from earnings.,"If net income is $300,000 and dividends are $50,000, dividend coverage ratio = 300,000 / 50,000 = 6.0."
Financial Leverage Ratio,Financial Leverage = Total Assets / Equity,Measures the degree to which a company is using borrowed money.,"If total assets are $2,000,000 and equity is $500,000, financial leverage ratio = 2,000,000 / 500,000 = 4.0."
Return on Invested Capital (ROIC),ROIC = (Net Income - Dividends) / Invested Capital,Measures the return earned on the total capital invested in the business.,"If net income is $100,000, dividends are $10,000, and invested capital is $900,000, ROIC = (100,000 - 10,000) / 900,000 = 10%."
Inventory Turnover Ratio,Inventory Turnover Ratio = Cost of Goods Sold / Average Inventory,Measures how frequently inventory is sold and replaced during a period.,"If COGS is $400,000 and average inventory is $100,000, inventory turnover ratio = 400,000 / 100,000 = 4.0."
Earnings Before Interest and Taxes (EBIT),EBIT = Revenue - Operating Expenses - Depreciation - Amortization,Represents a company’s profit from operations before interest and taxes.,"If revenue is $1,000,000, operating expenses are $700,000, depreciation is $50,000, and amortization is $20,000, EBIT = 1,000,000 - 700,000 - 50,000 - 20,000 = $230,000."
Adjusted Return on Assets (AROA),AROA = (Net Income + Depreciation) / Average Total Assets,Measures the return on assets adjusted for non-cash expenses like depreciation.,"If net income is $100,000, depreciation is $20,000, and average total assets are $1,200,000, AROA = (100,000 + 20,000) / 1,200,000 = 10%."
Operating Cash Flow Ratio,Operating Cash Flow Ratio = Operating Cash Flow / Current Liabilities,Measures the ability to cover short-term liabilities with operating cash flow.,"If operating cash flow is $500,000 and current liabilities are $250,000, operating cash flow ratio = 500,000 / 250,000 = 2.0."
